,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,upernavik,7,GL,1570595051,53,72.79,-56.15,25.84,6.91
1,chuy,0,UY,1570595051,73,-33.69,-53.46,54.91,3.66
2,arraial do cabo,100,BR,1570595051,98,-22.97,-42.02,70.91,5.68
3,fort nelson,20,CA,1570595051,58,58.81,-122.69,30.2,5.82
4,kavaratti,40,IN,1570595052,79,10.57,72.64,86.0,4.7
5,pevek,100,RU,1570595052,83,69.7,170.27,30.81,17.67
6,yar-sale,100,RU,1570595052,83,66.83,70.83,34.93,12.97
7,puerto ayacucho,100,CO,1570595053,82,5.66,-67.63,79.25,3.74
8,busselton,100,AU,1570595053,32,-33.64,115.35,79.0,9.22
9,qaanaaq,85,GL,1570595053,65,77.48,-69.36,19.29,10.74
10,caravelas,0,BR,1570595053,84,-17.73,-39.27,74.19,8.81
11,hermanus,100,ZA,1570595054,87,-34.42,19.24,55.99,3.0
12,muros,20,ES,1570595054,100,42.77,-9.06,59.0,16.08
13,mataura,100,NZ,1570595054,98,-46.19,168.86,51.01,3.0
14,ushuaia,40,AR,1570595055,92,-54.81,-68.31,35.6,27.51
15,bredasdorp,97,ZA,1570595055,76,-34.53,20.04,55.99,9.17
16,lagoa,0,PT,1570595055,77,37.14,-8.45,68.0,6.93
17,ilulissat,19,GL,1570595055,53,69.22,-51.1,26.6,1.12
18,sao sebastiao,100,BR,1570595056,86,-3.15,-58.36,75.69,1.71
19,mimongo,61,GA,1570595056,99,-1.62,11.6,67.6,2.93
20,cabo san lucas,5,MX,1570595056,65,22.89,-109.91,84.99,6.22
21,jamestown,71,AU,1570595057,25,-33.21,138.6,68.9,2.21
22,zelenogorskiy,6,RU,1570595057,52,55.03,87.0,46.4,8.95
23,albany,40,US,1570594860,87,42.65,-73.75,48.99,5.26
24,east london,75,ZA,1570595057,93,-33.02,27.91,62.6,12.75
25,saskylakh,89,RU,1570595058,95,71.97,114.09,17.64,5.42
26,chokurdakh,0,RU,1570595058,89,70.62,147.9,9.23,1.42
27,kushima,20,JP,1570595058,50,31.5,131.29,75.2,11.41
28,hobart,75,AU,1570594807,50,-42.88,147.33,57.2,12.75
29,butaritari,56,KI,1570595059,67,3.07,172.79,85.26,11.54
30,leh,5,IN,1570595059,45,34.16,77.58,32.07,5.09
31,rikitea,100,PF,1570594842,82,-23.12,-134.97,67.35,12.88
32,mackay,90,CA,1570595060,68,53.65,-115.58,24.8,9.17
33,aksu,0,KZ,1570595060,50,52.04,76.93,57.2,2.24
34,port elizabeth,90,US,1570595060,59,39.31,-74.98,63.0,11.41
35,vaini,84,IN,1570595061,74,15.34,74.49,78.8,2.17
36,ludgerovice,40,CZ,1570595061,87,49.89,18.24,51.01,9.17
37,ponta do sol,100,BR,1570595061,95,-20.63,-46.0,64.9,0.54
38,maniitsoq,94,GL,1570595062,43,65.42,-52.9,36.35,8.48
39,severo-kurilsk,100,RU,1570595062,97,50.68,156.12,42.93,32.24
40,arona,90,IT,1570595062,93,45.76,8.56,57.99,1.12
41,sumbe,100,AO,1570595062,89,-11.2,13.84,72.16,4.3
42,port alfred,15,ZA,1570595063,89,-33.59,26.89,61.0,3.0
43,fairbanks,90,US,1570595063,93,64.84,-147.72,35.6,3.36
44,lompoc,90,US,1570595064,93,34.64,-120.46,59.0,3.36
45,pangai,20,TO,1570595064,69,-19.8,-174.35,80.6,11.41
46,sitka,82,US,1570595064,64,37.17,-99.65,61.0,21.99
47,fortuna,1,US,1570595065,87,40.6,-124.16,55.0,10.29
48,punta arenas,90,CL,1570595065,80,-53.16,-70.91,41.0,29.97
49,dukat,0,AL,1570595065,83,40.25,19.57,64.0,5.14
50,drovyanaya,40,RU,1570595066,28,51.58,113.05,42.8,17.9
51,khatanga,71,RU,1570595066,89,71.98,102.47,18.43,3.44
52,bluff,0,AU,1570595067,18,-23.58,149.07,88.86,10.05
53,altamira,71,BR,1570595067,93,-3.2,-52.21,74.07,2.64
54,flin flon,100,CA,1570595067,57,54.77,-101.88,33.66,9.83
55,gamba,58,CN,1570595067,61,28.28,88.52,33.53,4.88
56,nanortalik,100,GL,1570594930,86,60.14,-45.24,40.13,7.11
57,humaita,0,AR,1570595068,48,-24.93,-65.37,64.4,4.7
58,bonavista,41,CA,1570595068,86,48.65,-53.11,50.0,15.01
59,auki,100,NG,1570595068,90,12.18,6.51,72.46,6.78
60,tuktoyaktuk,40,CA,1570595069,86,69.44,-133.03,28.4,8.05
61,may pen,20,JM,1570595069,74,17.97,-77.26,82.4,9.17
62,barrow,27,AR,1570595070,56,-38.31,-60.23,45.93,6.55
63,taltal,36,CL,1570595070,79,-25.41,-70.49,53.31,1.86
64,kapaa,75,US,1570595070,94,22.08,-159.32,80.6,8.05
65,faanui,97,PF,1570595071,85,-16.48,-151.75,76.03,25.25
66,norman wells,75,CA,1570595071,63,65.28,-126.83,30.2,5.82
67,aklavik,75,CA,1570595071,69,68.22,-135.01,33.8,3.36
68,mayo,90,CA,1570595071,73,63.59,-135.9,26.6,3.91
69,kidal,0,ML,1570595072,38,18.44,1.41,84.25,8.21
70,yelizavetinskoye,100,RU,1570595072,88,45.01,43.35,51.24,8.31
71,babati,100,TZ,1570595072,79,-4.21,35.75,68.41,5.12
72,port hardy,5,CA,1570595073,75,50.7,-127.42,41.0,8.05
73,ogaminana,100,NG,1570595073,98,7.6,6.2,70.16,1.86
74,kavieng,4,PG,1570595073,71,-2.57,150.8,85.23,10.46
75,cherskiy,99,RU,1570595074,94,68.75,161.3,21.49,6.08
76,ancud,90,CL,1570594925,93,-41.87,-73.83,46.4,4.7
77,hilo,1,US,1570594590,61,19.71,-155.08,80.6,3.36
78,bafoulabe,100,ML,1570595074,80,13.81,-10.83,77.68,5.97
79,avarua,100,CK,1570595075,60,-21.21,-159.78,71.6,10.29
80,cidreira,0,BR,1570595075,87,-30.17,-50.22,65.46,7.55
81,kaitangata,100,NZ,1570595075,91,-46.28,169.85,50.0,10.0
82,behshahr,0,IR,1570595076,82,36.69,53.54,64.4,2.24
83,puerto ayora,9,EC,1570595076,95,-0.74,-90.35,64.99,1.01
84,terbuny,73,RU,1570595077,76,52.15,38.28,35.11,9.91
85,sosnovo,100,RU,1570595077,99,60.56,30.25,41.0,1.14
86,dikson,94,RU,1570594843,86,73.51,80.55,21.72,13.62
87,mitu,37,IR,1570595077,65,36.2,46.09,43.52,2.57
88,airai,0,TL,1570595078,46,-8.93,125.41,86.92,4.76
89,meulaboh,83,ID,1570595078,79,4.14,96.13,79.28,3.78
90,bayan,100,CN,1570595078,92,36.1,102.26,40.06,4.2
91,yelabuga,90,RU,1570595079,96,55.76,52.06,32.0,11.18
92,leningradskiy,100,RU,1570595079,81,69.38,178.42,32.65,21.56
93,bontang,89,ID,1570595079,80,0.12,117.47,83.6,3.47
94,port keats,20,AU,1570595079,51,-14.25,129.55,89.0,11.03
95,bathsheba,20,BB,1570595080,69,13.22,-59.52,82.4,16.11
96,souillac,75,FR,1570595080,93,45.6,-0.6,60.01,6.93
97,broken hill,0,AU,1570595081,27,-31.97,141.45,62.6,11.41
98,atuona,11,PF,1570595081,70,-9.8,-139.03,79.48,9.61
99,tumut,0,AU,1570595081,44,-35.3,148.22,57.22,5.84
100,fillmore,1,US,1570595081,77,34.4,-118.91,69.01,4.7
101,sangmelima,95,CM,1570595082,99,2.93,11.98,66.67,3.96
102,necochea,73,AR,1570595082,92,-38.55,-58.74,43.0,1.99
103,talnakh,0,RU,1570595082,79,69.49,88.39,24.8,2.24
104,cape town,40,ZA,1570594870,76,-33.93,18.42,57.99,16.11
105,kodiak,1,US,1570594838,76,39.95,-94.76,57.0,6.93
106,oistins,20,BB,1570595083,69,13.07,-59.53,82.4,16.11
107,georgetown,20,GY,1570595083,94,6.8,-58.16,77.0,2.24
108,kirakira,100,SB,1570595084,77,-10.46,161.92,82.07,5.21
109,shyroke,95,UA,1570595084,49,47.96,38.23,41.38,1.07
110,lebu,96,ET,1570595084,95,8.96,38.73,50.18,1.58
111,radovitskiy,94,RU,1570595084,94,55.13,39.8,32.21,8.5
112,atar,100,MR,1570595085,11,20.52,-13.05,82.22,1.65
113,thinadhoo,62,MV,1570595075,68,0.53,72.93,81.8,6.17
114,guerrero negro,54,MX,1570595085,70,27.97,-114.04,69.96,14.4
115,bud,40,NO,1570595085,93,62.91,6.91,48.2,9.17
116,west bay,40,CA,1570595086,75,49.34,-123.21,48.2,7.18
117,pangnirtung,100,CA,1570595086,90,66.15,-65.72,33.22,2.0
118,constitucion,5,MX,1570595086,45,23.99,-104.67,62.6,5.82
119,tadine,0,NC,1570595086,66,-21.55,167.88,75.92,12.55
120,yulara,0,AU,1570595087,12,-25.24,130.99,86.0,9.17
121,poum,0,MK,1570595087,90,41.28,20.71,44.49,1.87
122,santiago de chuco,100,PE,1570595087,83,-8.15,-78.17,47.75,8.39
123,tagusao,42,PH,1570595088,73,9.19,117.81,83.37,7.0
124,grand gaube,75,MU,1570594958,73,-20.01,57.66,73.99,13.87
125,yellowknife,90,CA,1570595088,86,62.45,-114.38,30.2,11.41
126,riohacha,100,CO,1570595088,78,11.54,-72.91,80.24,5.57
127,san quintin,0,PH,1570595089,60,17.54,120.52,87.64,3.44
128,la palma,100,CO,1570595089,97,5.36,-74.39,68.31,2.89
129,batagay-alyta,51,RU,1570595090,71,67.8,130.41,14.65,6.25
130,castro,90,CL,1570595090,93,-42.48,-73.76,46.4,4.7
131,portland,1,US,1570595066,81,43.66,-70.25,52.0,5.82
132,shetpe,95,KZ,1570595090,47,44.14,52.16,59.54,4.5
133,zhangjiakou,100,CN,1570595091,29,40.77,114.88,54.99,5.86
134,qandala,0,SO,1570595091,66,11.47,49.87,80.1,11.72
135,dunedin,100,NZ,1570594991,78,-45.87,170.5,54.0,5.01
136,coquimbo,90,CL,1570595091,100,-29.95,-71.34,63.0,2.24
137,pervomayskoye,40,RU,1570595092,72,57.07,86.23,36.66,5.82
138,alta floresta,100,BR,1570595092,96,-9.87,-56.08,68.54,4.11
139,kavadarci,0,MK,1570595092,93,41.43,22.01,54.0,0.96
140,hithadhoo,89,MV,1570595092,71,-0.6,73.08,82.15,4.65
141,te anau,100,NZ,1570595093,97,-45.41,167.72,47.12,2.2
142,narsaq,75,GL,1570595093,86,60.91,-46.05,37.4,2.24
143,morogoro,75,TZ,1570595093,100,-6.82,37.67,68.0,1.41
144,la asuncion,0,AR,1570595093,50,-26.05,-65.39,57.2,4.65
145,ayagoz,16,KZ,1570595094,48,47.96,80.43,55.45,11.72
146,kautokeino,99,NO,1570595094,90,69.01,23.04,28.2,11.14
147,liuli,3,TZ,1570595094,69,-11.1,34.65,77.57,13.65
148,klaksvik,67,FO,1570595094,93,62.23,-6.59,50.0,12.75
149,nueva loja,86,EC,1570595095,99,0.08,-76.88,69.48,1.91
150,pisco,90,PE,1570595095,87,-13.71,-76.2,60.8,2.24
151,jingdezhen,0,CN,1570595095,45,29.29,117.2,82.6,2.04
152,benxi,63,CN,1570595096,35,41.29,123.76,69.8,22.37
153,kruisfontein,89,ZA,1570594954,83,-34.0,24.73,58.13,18.61
154,aykhal,90,RU,1570595096,92,65.95,111.51,17.6,6.71
155,port macquarie,75,AU,1570595096,52,-31.43,152.91,71.01,19.46
156,mawlaik,0,MM,1570595096,68,23.63,94.42,79.07,2.98
157,laranjeiras do sul,100,BR,1570595097,90,-25.41,-52.42,61.14,4.25
